"loan_amount","annual_income","debt_to_income","term","interest_rate"
12000,1e+05,17.1,36,21.85
35000,95000,24,36,12.62
17000,90500,25.1,36,7.35
6025,20280,26.3,36,10.41
12000,168000,13.4,36,10.91
7800,43500,19.3,36,7.34
28000,70000,32.1,36,19.03
10000,69108,17.4,36,7.97
25000,65000,23,60,12.62
16000,72000,29.7,60,13.58
12000,35000,31.7,36,12.62
2800,45000,43.6,36,14.08
25000,91690,21.6,60,13.58
35000,120000,26.2,36,7.97
20000,70000,15.1,36,15.05
10000,55000,7.4,36,6.72
20000,105000,13,36,5.32
6000,56000,15.8,36,20
10000,120000,18.5,36,5.31
12000,85000,9,36,13.58
10000,60000,11.8,36,10.9
12500,49500,24.5,36,6.71
20000,70000,17.7,60,11.99
12000,1e+05,9.1,36,10.41
4000,38678,11.7,36,9.92
10000,25000,1.6,60,12.61
10000,77000,17.1,36,11.98
2800,42000,0.6,36,10.42
5000,120000,21.4,36,6.72
32000,133000,20.9,60,15.05
9600,64934,18.6,36,13.58
15000,45000,25.1,60,17.09
14400,65000,30.7,36,9.92
10000,52000,22.5,36,10.42
21000,22800,20.6,36,16.01
40000,152000,10,36,5.32
10000,37700,13.9,60,20.39
1000,49300,14,36,11.99
16000,65000,15.9,36,15.04
24000,90000,20.2,36,9.93
20000,50000,24.3,36,10.91
28000,72000,14.2,36,6
25000,54500,24.6,60,10.42
6000,36433,26.9,36,7.35
40000,68000,25.2,60,9.93
15000,20000,11.3,36,11.99
15000,70000,20,36,7.34
25000,80000,9.3,36,18.45
10000,130000,17.3,36,7.97
15000,55000,24.2,60,28.72
30000,156000,30,36,6.08
25000,40000,27.8,60,12.61
28000,90000,11.5,60,16.02
25000,79000,25.5,60,12.62
13000,59000,16.1,36,7.97
10000,50000,34.1,36,9.44
2000,38000,11.5,36,13.59
10000,18000,28,36,11.98
7000,54000,17.2,36,10.91
30000,112000,11.7,60,26.77
20000,85000,9.8,36,5.32
10000,25200,28.5,36,12.62
7000,49000,21.4,36,13.59
23000,68000,26.8,60,19.03
20000,48000,16.8,60,24.84
10000,69860,13,60,9.43
10000,60000,37.5,36,7.35
15000,86000,8.5,36,10.41
6000,75000,19.8,36,11.99
6000,30000,28.8,36,16.01
13650,105000,22,60,12.62
20000,110000,16.3,36,9.43
10000,44000,3.2,36,6.08
35725,108000,28.6,36,10.91
3000,55000,23.1,36,7.97
12000,55000,41.7,36,13.59
10000,25000,11.6,36,16.02
12000,55000,25.5,36,7.34
4600,76000,28.5,36,14.07
13000,35000,17.4,60,9.44
10000,37540,26.3,36,12.61
5700,62628,24,36,7.97
10000,41000,10.1,36,10.42
15000,62000,17.4,36,7.97
5600,10000,20.8,36,21.45
11000,48000,18.8,60,17.09
25000,108000,8.2,60,10.42
25000,140000,14.5,36,6.71
5000,70000,16.6,36,9.92
7000,55000,3.5,36,7.34
35000,1e+05,20.7,60,21.85
12000,90000,6.5,36,5.32
40000,65000,19.7,36,9.43
20000,150000,9.9,60,7.34
3500,20000,12,36,26.3
2500,50000,27.5,36,12.61
15000,190000,11.5,60,11.98
10000,72000,5.6,36,9.43
12000,50000,19.2,36,10.42
14000,75000,26.6,36,10.9
10500,1e+05,29.4,36,10.9
10000,60000,8.2,36,6.72
10200,17000,18.2,36,7.96
10000,42000,16.4,36,13.58
15000,80000,15.7,60,7.34
25200,69000,22.8,36,15.04
5000,75000,13.6,36,6.08
12000,156000,8,36,7.96
4000,55000,9.5,36,6.07
36000,128000,33.8,60,10.9
6000,70000,26.7,36,6.72
1200,66000,17.7,36,11.99
10000,110000,6.1,36,15.04
17950,31656,22.2,36,16.01
11000,106000,15.7,36,7.35
40000,96800,13.2,36,5.31
25000,43000,19.3,60,13.59
1800,70000,22,36,9.43
7200,75000,22.2,36,7.97
8000,61400,11.8,36,6.07
14000,90000,22.7,36,11.99
21000,50000,20.9,60,14.08
10000,31000,17.4,36,15.04
20000,78000,16.5,36,7.35
30000,130000,14.8,36,9.43
18000,122000,24,36,11.98
28000,57000,2.6,36,5.32
35000,82000,18.4,60,18.06
12000,50000,31,36,11.98
18000,74000,14.3,36,10.9
30000,48000,21.8,60,21.45
14000,25000,8.7,60,11.98
36000,140000,11.2,36,6.07
5500,45000,25.5,36,6.72
16000,49000,23.2,60,10.41
40000,70000,20.4,36,7.35
10000,40000,22,36,10.9
14000,96000,22.4,60,19.03
19000,170000,13.2,36,6.71
12000,86000,16.7,36,11.99
7000,38000,7.6,36,10.42
20000,1e+05,15,60,17.47
10000,70000,31.5,36,9.93
10500,46500,16.5,60,15.05
15000,82000,9.1,60,10.9
18000,81900,11.2,36,13.59
13600,62000,24.5,36,19.03
20000,83000,31.7,36,19.42
3000,35000,0.9,36,19.03
4100,62000,19.3,36,14.08
7300,88000,38.2,36,6.08
20000,85765,16.6,36,5.31
20000,30000,22.5,60,13.59
28000,65926,11.8,36,16.02
35000,120000,12.5,36,14.08
10000,60000,19,36,6.07
5000,35000,31,36,11.98
35000,63500,10,36,13.59
16000,101000,17,36,10.41
30000,60000,24.1,60,20
4400,60000,23.5,36,7.97
10000,21000,3,36,9.44
8500,60000,6.4,36,14.08
20000,80000,32.4,36,21.45
9000,39000,23.5,36,9.93
24000,76000,33.5,36,12.61
10000,2e+05,17.2,36,5.32
10000,55000,11.9,36,7.96
9500,57500,19,36,5.32
8000,160000,6.1,36,7.35
10000,10800,0,60,16.02
15000,115000,25.4,36,5.32
23000,85000,14.2,60,6.72
12000,58000,21.2,60,26.3
10000,55000,27.3,60,12.62
35000,1e+05,31.4,36,19.42
10000,121000,11.8,36,11.98
6500,22000,30,36,10.42
40000,115000,9.5,36,9.43
4000,79000,35.9,36,10.42
5000,90000,7.5,36,9.43
20000,75000,28.2,36,14.08
3500,31000,6.2,36,20
15000,172000,4.4,60,20
15000,49992,19.2,36,10.41
11400,40600,32,60,18.45
24000,55000,12.3,60,12.62
20000,150000,6.9,36,10.42
15000,55000,14.1,36,11.99
8475,32000,27.7,36,10.9
7000,101000,9,36,5.32
25000,70500,11.5,36,22.9
10000,45000,22.2,36,10.42
16000,60000,22.6,60,10.42
15000,110000,20.6,36,6.07
40000,117000,25.4,60,14.07
40000,50000,45.8,36,10.9
10000,52000,10.1,36,10.91
3000,48000,11.3,36,17.47
2500,25000,30.3,36,12.62
20000,90000,30.1,36,7.96
10000,36000,21.3,36,7.97
16000,92000,16.4,60,13.58
20000,74000,12.8,60,26.77
6000,76000,15.1,36,9.43
25000,102000,39.7,36,23.88
9600,85000,8.7,36,11.99
24000,70000,15.3,36,6.07
5000,35000,15.4,36,14.07
20000,32000,35.2,36,15.04
20000,56000,13.9,36,7.34
26400,70000,24.8,60,9.43
10000,90000,23.1,60,9.92
25000,48000,37.3,36,19.03
10000,1e+05,13.3,60,15.04
1600,60000,6.2,36,13.59
15000,123000,17.5,36,11.99
10000,50000,25.4,60,21.85
10000,57000,22.5,36,10.91
20000,30000,17.1,60,9.43
14000,90000,11.7,36,5.31
7000,65000,4.9,36,5.31
4000,44200,5.1,36,5.32
10000,52000,34.9,36,7.97
20000,75000,29.5,36,6.72
20000,192000,13.2,60,15.05
2500,1e+05,1.5,36,7.96
5500,79300,26.1,36,18.06
12000,55000,0.6,36,13.59
6500,57000,9.1,36,17.09
2500,63500,1.1,36,11.98
5000,35000,16.7,36,11.99
8000,90000,17.6,36,20
18000,50000,17,60,7.35
1000,38400,15.7,36,10.41
10800,67000,23.1,36,10.42
40000,95000,7.5,36,7.34
12500,50000,17.2,36,7.34
6000,78000,19.4,36,16.01
12000,25000,21.6,36,15.05
12000,60000,14.6,60,14.08
15000,30000,25.9,60,9.92
8000,37500,28.6,36,15.04
6000,130000,6,36,9.44
12000,180000,19.9,60,13.59
12000,83000,17.5,36,6.72
20000,1e+05,7.2,60,13.59
25000,105000,32.7,60,30.79
25000,130000,17.3,60,15.05
4800,30000,26.6,36,7.96
9600,75000,22.4,36,7.34
10000,50000,23.1,36,14.08
5000,30000,37.8,36,11.98
3000,24000,13.8,36,7.35
10000,60000,18.3,36,13.58
40000,50000,2.4,60,13.58
19500,72000,33.3,60,16.02
8500,105000,13.5,36,7.35
10000,90000,7.8,36,17.09
6500,40000,29.7,36,15.05
24450,34000,25.7,60,18.45
15000,96000,30.3,36,19.42
24000,133000,20.1,60,10.42
11000,40000,19.8,36,14.08
40000,152000,10.3,60,12.61
14000,50000,23.3,60,19.03
17000,28201,35.7,36,19.03
5000,58000,13.6,36,7.34
7200,27000,23.9,36,13.59
7000,90000,7.7,36,9.44
20700,77000,21.6,36,9.92
20700,36000,26.7,60,26.77
9000,54000,29.7,36,10.41
10000,180000,12,36,19.03
35000,185000,4.8,60,9.92
10000,50000,24,36,11.99
4500,30000,30.8,36,17.09
5000,40000,5.3,36,11.98
15000,51882,21.4,36,17.09
12000,82000,12.6,36,10.41
16800,48000,32.2,60,18.06
6000,48000,24.7,36,6.72
10000,60000,15.5,36,9.43
4800,48769,11.1,36,21.45
15000,155555,20.2,36,10.41
12000,67000,32.6,36,11.99
5800,24576,26.7,36,5.32
40000,70000,7,60,9.44
24000,110000,5.7,60,10.9
15000,55000,26.2,60,9.92
15000,60000,3.1,60,7.35
30000,72135,23.7,60,11.98
10000,46000,25.1,36,7.96
1000,61584,14.1,36,19.03
1800,72000,20.9,36,10.91
9600,1e+05,13.6,36,12.61
28000,91000,10.7,60,13.58
5600,35000,21.7,36,9.92
6000,102900,14.7,36,6.08
10000,59789,13.3,36,13.59
30000,96000,19.7,36,10.41
22300,37000,19.1,60,21.85
10000,45000,11.9,36,9.44
16800,65000,37.5,36,12.61
10000,65000,35.6,36,7.34
10000,120000,12.8,36,14.07
22000,33000,30.9,36,6.07
24000,140000,36.7,36,10.42
13000,85500,20.3,36,6.71
13000,65000,9.4,36,7.35
6500,37000,5.8,36,9.93
4000,60000,10,36,12.61
9000,75000,15.8,36,14.08
40000,108000,12,36,9.44
3300,79000,25.1,36,5.31
6025,42000,24.7,36,12.61
8000,75000,1.4,36,7.34
5000,95000,19.7,36,6.07
24000,65000,9.4,36,10.41
10000,33186,9.5,60,19.42
5000,39000,13.3,36,6.08
18000,48000,9,36,20
15000,78000,18.3,36,5.32
20000,24000,18,36,13.58
9000,92000,19.3,36,11.98
20000,42640,22.8,60,14.07
40000,89000,18.4,60,15.05
25000,40000,25.4,36,13.58
24000,110000,23.8,60,10.42
40000,135000,4.2,36,5.32
40000,175000,28.3,36,7.97
10000,60000,25.4,60,12.61
40000,81000,8.6,36,9.92
6000,97598,14.8,36,7.96
8500,38000,24.5,36,14.08
13200,80000,27.9,60,23.88
5000,130000,6.2,36,7.34
3200,50000,17.7,36,21.45
14400,70000,16.4,36,9.44
5000,58800,11.8,36,12.62
30000,87120,17.5,60,15.05
6000,60000,36.7,36,13.58
18000,128500,24.4,36,9.93
4000,30000,16.7,36,7.97
28000,105000,17.7,60,17.09
10000,1e+05,5.6,60,13.59
8500,88000,15,36,14.07
12000,55000,19.8,36,7.96
20000,110000,23.5,60,21.45
20000,90000,16.5,60,9.43
30750,31972,12.3,36,9.44
8400,26000,38.6,36,16.01
9000,28000,28.8,36,7.97
30000,127000,10.7,60,23.88
35000,175000,18.3,60,19.42
16000,91200,26.2,36,10.41
11200,60000,27.5,60,19.03
22000,43437,18.4,36,17.47
9000,68000,13,36,10.91
5000,54164,33.5,36,11.99
8000,68000,15.2,36,10.91
5000,101000,27.8,36,9.93
7000,22500,28.1,36,14.07
12000,117000,25.2,36,7.34
5500,70000,20.7,36,9.92
10775,40000,4.3,60,13.59
5000,57000,27.9,36,11.98
20000,75000,26.2,60,21.45
16000,36000,20.9,60,19.03
21000,180000,17,36,7.96
15000,69351,25.4,36,19.03
20000,37000,11.4,60,16.01
28000,55500,8.6,60,12.62
20000,102000,9.3,36,5.31
24000,61000,1.1,60,18.45
5000,44000,25.7,36,15.04
17000,31000,19.1,36,12.62
6400,65000,5.6,36,6.08
17000,65000,14.8,36,5.32
26400,49642,34.4,60,20
24000,110000,4.2,60,9.92
10000,125000,2.8,60,17.47
8000,54000,1.7,36,21.45
5000,75250,19.4,36,13.58
23000,115000,16.6,60,21.45
12000,60000,20.9,36,16.01
35000,85000,7.8,60,15.04
3000,56000,15.7,36,20
7800,75000,23.5,36,14.07
20000,68000,11.6,60,10.9
19200,35000,22.3,60,17.09
40000,63330,8.4,60,7.34
16000,70000,17.4,36,7.96
10000,50000,7.1,36,6.07
9600,110000,12.7,36,6.08
17000,1e+05,13.6,60,10.9
22400,1e+05,10.3,60,10.42
20000,140000,11.6,60,13.58
10000,94000,10.8,36,16.02
10000,90000,12.1,36,7.97
4800,76000,17.1,36,11.99
16000,27000,24.4,60,17.09
35000,155000,0.2,36,6.08
2500,90000,16.6,36,9.44
15000,60000,26.5,36,5.32
15000,45000,3.6,36,9.93
20000,57600,34,60,15.05
10000,43000,6.7,36,14.07
7500,35500,17.1,36,10.42
10000,31200,36.5,36,12.62
9000,84000,11.9,36,14.07
25000,67000,29.9,36,14.07
4000,37000,38.4,36,6.08
5000,26271,9.9,36,9.44
24000,70000,25.9,36,19.42
15000,60000,20.8,36,20
10000,80000,14.8,60,14.07
14000,45000,21.6,36,9.93
10000,35000,33.6,36,16.01
16000,55000,16.6,60,16.01
10000,55000,35.4,36,15.05
4150,72828,35.1,36,13.58
10000,53574,10,60,10.42
35000,67600,11.8,60,12.62
5000,56000,28.8,36,12.62
11000,60000,31.7,36,6.08
21200,64874,37.5,36,18.06
2000,45000,21.3,36,10.42
36000,51000,39.3,60,10.9
20000,126000,17.9,36,7.96
16000,72000,9.4,36,9.93
10000,54996,4.1,36,9.93
5000,104000,23.2,36,15.05
10400,78000,15.4,36,9.43
40000,198000,7.3,36,10.42
35000,142000,11.3,36,7.97
40000,85000,22,36,5.31
3000,47840,21.8,36,7.35
4800,35000,6.2,36,5.31
35000,130000,5.5,36,16.02
19000,120000,7.7,36,6.72
18000,50000,2.5,60,17.47
4200,70000,13.7,36,9.43
10000,52000,21.8,36,15.04
10000,38000,46.1,60,19.03
22000,93500,5.9,36,5.32
40000,96000,25.5,60,13.58
6000,120000,17.7,36,10.9
15000,20000,9.3,36,11.99
3600,75000,24.1,36,7.96
9000,45000,4.8,36,15.04
12000,1e+05,16.4,36,7.34
13000,75000,10,36,9.43
6000,35000,40.7,36,9.92
5000,40000,27.7,36,7.34
17250,90000,32.2,60,20
20000,45000,34.9,60,24.85
15000,61368,37.5,60,14.07
15000,92000,19.7,60,10.91
13000,60000,7.3,36,10.41
16000,120000,7,60,12.62
13200,50000,5.1,60,10.42
3000,38000,9.3,36,6.71
17000,38000,19.1,36,7.97
10000,50000,18.3,36,7.97
14400,38450,24.8,60,13.58
7500,31360,7.2,36,5.32
6000,43000,20.6,36,15.04
26250,48000,19.8,36,9.43
8400,40000,20.2,36,14.08
1500,65000,15.1,36,9.44
15000,30000,2.1,60,18.06
16000,112000,15.3,60,26.3
4200,32000,13.2,36,7.34
30000,92200,4.2,36,5.32
19200,49000,25.8,60,19.03
12000,24480,26,36,15.05
3600,37020,10.2,36,10.91
7000,42000,17.3,36,6.72
25000,103000,18.2,36,12.61
6000,54000,27.9,36,16.02
12000,42000,18.7,36,12.62
20000,48000,18.2,60,10.9
12000,44211,11.9,36,16.02
10000,64000,8.2,36,9.44
12000,52000,21.8,60,21.45
10000,50000,3.5,36,9.43
10000,42000,16,36,19.42
20000,135000,23.7,36,5.32
25000,80000,14.2,36,10.91
17075,110000,16.4,36,6.72
7000,30000,5,36,7.35
1500,64000,21.6,36,10.91
15000,48000,15.2,60,28.72
24000,40000,50,36,13.59
3400,38000,12,36,10.42
21000,101000,10.2,36,5.31
14000,50000,17.6,36,14.08
15000,85000,29.7,36,6.08
25000,125000,16.4,36,9.44
20000,50000,18.1,36,9.44
16000,44000,7.2,60,12.61
25000,110000,25.1,60,10.42
1500,67700,27.5,36,23.88
5000,32000,38.8,36,12.61
8000,35000,11.8,36,10.91
10000,55000,13.5,36,6.71
35000,75000,10.1,60,15.05
12000,50000,37.2,36,12.62
10000,25000,22.5,36,7.97
30000,2e+05,11,60,15.04
29700,140000,24.7,36,22.9
10000,90000,9.8,60,11.98
28000,75894,28.2,36,16.02
1800,30000,32.5,36,7.34
38000,50000,30.5,36,11.99
15000,25236,27.1,36,20.39
20000,105000,10.7,60,7.34
10000,60000,21.1,36,6.08
25000,90000,10.8,60,13.58
4800,115000,3.4,36,6.08
10000,47106,25.9,60,14.08
20000,75000,23.5,60,10.9
10000,58000,12.9,60,18.06
25000,50000,8.9,60,12.61
40000,167000,32.2,60,13.59
1000,36000,10.7,36,7.97
16000,108000,23.1,60,12.61
14000,69000,11.5,36,7.96
27575,119016,25.4,36,17.47
3600,80000,14.8,36,6.07
35000,99270,16.9,36,12.62
5000,47000,5,36,9.92
15000,90000,16.1,60,11.99
1200,80000,19.5,36,7.34
30000,64660,25.3,36,16.01
24000,92000,22.1,60,15.05
16000,82000,7.8,60,16.01
14000,56000,25.7,36,9.44
15000,135000,5.1,60,9.92
20000,89000,7.5,36,13.59
14000,50000,3.3,60,15.04
11000,88000,18.3,36,20.39
16000,70000,48.2,36,6.08
7000,34771,30.2,36,19.42
16000,125000,13.4,36,19.42
21600,125000,14.5,36,9.44
14000,46280,27,36,14.07
35000,1e+05,13.3,36,9.44
4000,13000,35.8,36,9.92
7500,1e+05,22.1,36,7.34
16000,163000,21.1,36,6.08
15000,75000,16.8,36,9.92
20000,75000,7.9,60,14.08
24000,165000,14.1,36,18.06
8000,169000,11.2,36,19.03
10000,30000,22.6,36,19.03
7000,60000,11.8,36,9.93
36000,85451,16.1,60,11.99
25000,83000,4.8,60,7.34
6500,54000,9.9,36,12.61
5000,40000,25.9,36,10.91
20000,37440,23.5,36,21.45
24000,90000,5.8,36,9.44
35000,80000,20.9,36,12.62
3500,51632,34.4,36,13.58
5000,61000,30.7,36,21.45
10000,111000,16.3,36,6.71
20000,60000,21.7,60,14.08
24000,72000,5.7,36,12.61
3500,95000,17.7,36,6.08
13500,68000,16.8,60,9.92
40000,180000,11.7,36,5.31
15000,98000,21.2,36,20.39
4000,72000,5,36,13.59
40000,75000,34,36,9.93
31000,110000,21.3,60,20
7500,42000,1.4,36,14.07
7200,42000,14.9,36,11.99
16000,135000,20.2,60,14.08
5000,55412,31,36,21.45
25000,92000,18.2,36,9.44
30000,75000,20.1,36,18.45
3200,35000,27.5,36,10.9
6000,70000,11,36,11.99
40000,85000,18,36,6.71
11000,55000,13.4,36,6.72
40000,155000,2,36,6.08
12000,70000,9.7,60,24.84
23625,52000,9.6,36,21.45
14000,44000,38.2,36,17.47
40000,2e+05,8.1,36,6.72
8125,38000,28.5,36,14.07
11000,88272,35.5,60,16.02
35000,90000,5.1,36,12.62
16100,70000,16.5,36,5.31
5000,36000,21.4,36,12.62
10000,65000,16,36,13.58
8000,45000,10.8,36,15.05
25050,45000,46.3,60,9.92
25000,70000,21.7,36,9.44
5000,68000,18,36,15.05
20000,60000,14.1,36,12.62
12800,87000,3.4,36,9.44
24000,102000,4.1,36,7.35
25000,97000,18.6,60,11.99
5000,48000,22.3,36,10.9
20375,165000,22.4,36,9.43
11000,48000,14.7,36,10.42
25000,45000,25.4,60,12.62
9000,46000,18.2,36,12.61
24000,72000,27.5,60,14.08
19000,90000,14.6,60,15.05
8000,25400,11.3,36,9.93
15000,55000,26.7,60,9.92
7000,53953,21.1,36,9.44
8000,32000,5.8,36,18.06
5500,59000,29.8,36,10.91
17000,150000,5,60,21.85
15000,48000,32.2,36,25.82
12000,129000,16.4,36,9.92
24000,82000,6.2,60,20
20000,90000,24.9,36,7.97
35000,120000,7.7,36,14.08
24000,95000,22.9,60,12.62
15500,42000,21.8,60,10.42
18000,50000,0.6,60,18.45
4000,62000,5.6,36,13.59
15000,20000,17.5,36,6.08
25000,53774,29.2,60,21.45
8000,19200,10.6,36,10.42
5000,50000,13.8,36,10.91
12000,110000,18.5,36,16.02
4000,34000,7.5,36,17.09
2000,54000,40.4,36,9.44
16000,14400,45.8,60,16.02
4000,43000,26.8,36,13.58
4200,64000,7,36,7.35
20000,75000,30.6,36,9.43
10000,68000,16.1,60,11.98
7500,62000,6.7,36,10.91
3625,52000,9.2,36,13.59
18375,60000,23,60,10.9
30000,50120,21.4,60,18.45
10000,80000,16.2,60,13.59
3500,37260,24.5,36,18.06
40000,128000,12.5,36,6.72
20000,40000,29,60,10.42
8000,65000,17.4,36,10.42
5000,39804,16.7,36,7.97
8000,33000,34.6,36,19.42
25000,102000,32.7,36,6.08
34800,115942,21.6,36,13.59
20000,60000,22.5,36,10.91
22000,81526,9.2,60,12.61
16800,40000,37.3,36,13.59
35000,105000,15,36,18.06
12000,29000,33.8,36,20
15000,36000,18.9,36,7.34
22000,47000,7,36,5.31
16000,122000,24.8,36,16.01
6025,74300,5.8,36,16.01
30000,94000,25.9,60,11.99
20000,55000,17.7,36,9.44
10000,125000,11.3,36,16.01
5000,36886,22.8,36,10.41
24875,55000,28.5,60,24.85
3900,1e+05,5.5,36,9.92
6400,98000,8.9,36,10.91
16000,70000,13.5,36,6.71
12000,115000,30.7,36,6.08
10000,70000,10.2,36,6.72
7000,80000,10.9,36,10.42
25000,87000,26.7,36,7.35
4000,46000,13,36,17.47
40000,35000,24.8,60,11.99
25000,40000,21.6,36,15.05
26600,80000,21.4,60,20.39
17000,75000,25.4,36,9.44
15000,70000,2.1,36,5.31
5000,48000,20.5,36,12.61
25000,110000,18.6,36,7.34
12475,53000,28.8,60,25.82
15000,34000,14.9,36,18.06
1600,90000,14.1,36,9.43
40000,130000,24.2,36,6.07
40000,98000,28.8,60,7.34
10000,67000,9.8,36,10.42
40000,1e+05,21.4,60,11.99
10000,63000,16.4,36,7.96
10000,52000,6.7,36,7.34
14000,39600,14.6,60,20
5175,65000,7.2,36,18.45
8800,84000,21.8,36,9.92
24000,106000,19.8,60,12.61
15000,75000,25.4,36,11.99
12800,45000,18.4,60,13.58
4900,95000,21.6,36,13.58
4000,48000,12.8,36,9.44
40000,1e+05,4.6,36,7.96
12000,38000,31.9,60,26.77
6000,33000,19.7,36,9.92
26400,62200,19.6,60,14.07
3000,45000,14.4,36,16.01
12500,70000,22.5,60,13.58
39425,1e+05,27.9,60,10.9
8500,70000,17,36,13.58
15000,40825,6.7,60,20
3000,70000,9.6,36,10.41
8000,42000,30.5,36,6.72
18000,45000,34.5,36,18.06
8000,1e+05,16.3,36,9.93
6000,30000,7.4,36,9.93
5000,40000,14.6,36,12.62
10000,50000,16.1,36,13.58
25000,75000,18.8,36,15.05
22000,2e+05,7.1,36,9.93
16800,150000,13.2,36,12.61
40000,1e+05,25.7,60,10.42
10000,38000,17.8,36,17.09
9000,35000,26.9,36,7.97
5000,36331,17,36,18.06
23100,55000,12.6,60,12.61
38450,93600,26.5,36,6.07
40000,90000,26.3,60,9.93
21000,88000,11.7,36,5.31
15000,35000,32.5,36,15.04
12000,110500,18.9,36,13.59
8000,60000,26,36,21.45
5000,39000,1.3,36,16.01
1000,19700,28.2,36,16.02
20000,120000,18.7,36,12.62
20000,1e+05,29.2,36,15.04
30000,70000,27.1,60,13.58
5500,34500,17.6,36,6.71
14000,73000,17.8,60,9.93
11000,42000,11.8,60,15.05
4200,170000,4.2,36,9.43
30000,1e+05,10.7,60,11.99
10000,83000,12.8,60,9.93
11900,90000,16.2,60,11.98
15000,55000,17.3,60,17.09
5000,38000,36.9,36,9.44
15000,51000,34.2,36,9.93
26750,68640,22.8,60,20
6000,67000,8.8,36,5.31
10000,48000,26.4,36,12.62
17100,30000,32.6,60,23.88
3500,75000,30.7,36,7.34
5000,45000,9.2,36,7.34
6750,120000,13,36,7.96
16000,75000,2.9,60,9.43
35000,83740,24,36,15.04
15000,80000,23.4,36,11.99
20000,90000,5,36,13.58
20000,78000,18.1,60,25.82
15000,40000,18,36,10.91
21000,57500,2,36,6.71
3000,42000,26.8,36,12.61
27000,120000,31.7,36,16.01
15000,1e+05,21.7,60,21.45
14400,70000,14.6,36,14.07
20000,48000,17.2,60,7.34
3000,36240,22.8,36,18.45
2700,24000,8.2,36,22.91
25000,74000,23.8,60,19.42
25000,120000,8.9,60,7.35
40000,132500,8.4,60,9.44
7000,35000,21.5,36,7.97
16000,58000,17.8,36,17.47
3000,144000,17.7,36,16.02
8500,64000,16.3,36,20.39
1800,46000,4.5,36,7.96
20000,80000,16.6,60,18.45
25000,57000,33.7,60,7.34
22000,59000,24.9,60,10.9
35000,120000,15.4,36,12.62
30000,75000,23.5,60,24.84
10000,175000,5,36,6.72
28000,140000,16.2,36,10.42
6500,28500,39.8,36,6.71
25000,52000,2.9,60,11.98
4000,24000,15.5,36,16.02
8500,18000,25.3,36,12.61
38500,138900,7.7,60,11.99
29900,81258,33,36,19.42
24000,152000,9.8,36,15.05
20000,75000,12.5,60,26.3
15000,34113,14.1,60,17.09
30000,125000,22.6,60,16.02
20000,120000,23.8,36,7.35
15000,90000,9.7,36,6.72
6000,70200,22.8,36,18.45
5000,65000,34,36,20
36000,130000,28.2,60,12.62
15000,30000,25.6,60,9.93
12000,105000,12.4,36,9.43
11000,70000,5.8,36,7.34
16000,39000,13.7,36,12.61
16800,88000,18.3,36,7.97
4800,55000,7.9,36,17.47
22000,90000,19.4,36,14.08
4600,14928,11.6,36,19.42
18000,86000,15.9,36,6.72
15000,164200,12.9,60,19.42
30000,65000,29.2,60,28.72
16000,93844,24.5,60,19.42
30000,82000,22.6,60,12.61
24000,150000,9,60,9.44
10800,70000,23.4,60,13.58
19000,24000,21.2,60,21.85
28350,2e+05,11.3,36,12.62
2000,50000,6,36,14.07
22000,69000,18.9,36,6.72
10000,72000,4,60,9.43
5000,35000,32,36,16.01
4000,72000,9.1,36,10.41
12000,93707,14.1,36,11.99
2000,64000,28.9,36,10.42
12800,44500,38.8,36,18.06
7000,83000,10.6,36,6.71
8000,47800,19.5,36,13.59
25000,62000,16.2,60,21.45
8000,90000,31.8,36,15.05
40000,140000,8.2,60,7.35
20000,74000,22.8,60,17.47
10975,60000,22.8,36,6.07
7800,110000,31.9,36,21.45
20000,60000,24.6,60,26.3
10000,80000,4.7,36,7.97
10000,42000,26.7,36,16.02
7500,33600,28,36,14.08
10000,60000,1.2,60,11.99
15700,40000,16.6,60,17.09
25600,25000,4,60,17.09
24600,29760,48.5,36,26.3
8300,56000,17.3,36,6.07
18000,125000,17.5,60,7.96
7500,53000,30.6,36,17.09
20400,60000,6.9,36,6.07
12000,50000,15.1,60,13.58
40000,1e+05,12.4,36,10.91
25000,146000,23.2,36,6.07
3000,90000,7.2,36,11.98
40000,65000,10.6,60,9.44
12000,47000,22,60,15.05
40000,96000,33.2,36,7.34
6000,65000,21.9,36,10.41
28000,55000,22.2,36,13.58
14000,29000,10.8,36,9.43
26400,49000,22.6,60,11.98
25000,55000,22.2,36,15.04
12000,80000,15.5,36,7.96
9800,75000,14.3,36,15.05
15000,55000,10.8,36,7.97
3025,35000,9,36,9.43
2500,55000,6.1,36,11.99
36000,95543,8.2,36,6.08
24000,50000,13.6,36,11.99
24000,54500,27.4,60,18.45
5000,55000,10.9,36,11.98
9600,60000,19.6,36,21.85
4800,48000,26.1,36,10.42
20000,151000,18.5,60,17.09
3000,40000,16.5,36,9.92
29000,120000,7.5,36,10.42
3000,75000,18.4,36,9.93
2700,17000,30.4,36,12.62
16000,127000,5.6,36,13.59
13000,135000,21.2,36,11.99
14400,138000,25.1,36,11.99
8000,90000,26.8,36,16.02
25000,105000,24.5,36,6.72
28000,1e+05,26.7,36,18.06
3000,90000,13.2,36,9.43
24000,40000,21.2,60,25.82
24000,68000,25,36,6.71
20000,75000,13.3,36,5.32
12000,120000,5.3,36,9.44
11200,45000,16,36,12.62
38400,68000,24.4,36,7.34
18000,60000,4.4,36,10.42
