Age,Monthly_Income,Years_at_Company,Work_Life_Balance,Job_Satisfaction,Overtime,Average_Hours_Worked_Per_Week,Absenteeism,Attrition
46,8882,3,2,1,1,34,13,0
48,4867,12,3,1,0,33,7,0
51,10465,4,3,5,1,55,13,0
38,14461,12,1,3,0,39,2,0
40,9103,13,4,4,1,42,15,0
24,15197,2,1,5,1,39,14,0
37,18424,2,4,2,1,43,6,0
47,19053,15,2,5,0,55,14,1
41,3240,23,3,1,1,51,12,0
40,7631,29,2,4,1,41,5,0
25,12599,17,3,2,1,56,14,0
20,14694,7,2,4,1,30,16,0
24,8077,28,1,4,1,58,3,0
31,6768,14,2,2,1,50,13,0
45,12142,12,2,5,1,59,14,0
53,10995,17,1,5,1,49,11,0
33,16276,14,3,5,1,49,18,0
45,15746,6,3,3,0,36,9,0
46,14475,19,1,5,1,38,5,0
28,9568,24,2,2,0,37,8,0
45,5601,6,2,3,0,56,1,0
41,9080,27,2,5,0,42,3,1
49,16854,18,4,3,1,43,8,0
36,5159,24,3,2,0,41,14,0
45,11313,5,2,5,0,37,12,0
55,7368,24,3,1,0,50,19,0
20,4317,24,2,2,1,51,7,0
27,16272,6,1,4,0,47,18,1
54,4230,2,1,4,1,45,18,0
34,4301,8,3,2,0,58,15,0
41,18927,15,3,4,0,40,10,0
33,4910,15,1,2,1,45,9,0
45,17904,11,4,1,1,43,7,0
47,11107,22,1,2,0,32,0,0
42,5757,22,2,5,0,50,9,1
33,9464,24,4,5,0,31,17,1
43,19562,1,1,3,1,32,2,0
21,12088,18,4,4,1,33,10,0
45,18124,12,4,4,0,51,17,1
33,17260,12,4,2,0,34,2,0
26,12743,25,3,4,1,39,7,0
22,11683,11,1,5,1,49,13,0
42,3060,28,3,1,0,58,5,0
37,12269,8,3,2,1,31,14,0
57,5895,28,2,4,0,41,13,0
54,18323,7,2,5,1,56,6,0
34,15352,23,4,3,0,34,9,0
44,14875,21,4,4,0,34,14,0
56,19969,2,2,1,0,56,9,1
47,8823,11,2,1,1,52,16,0
29,14962,22,1,4,0,30,18,1
58,3534,10,4,4,0,33,16,0
36,7011,3,4,5,1,56,11,0
58,5155,20,2,4,0,50,14,1
41,9957,29,1,3,0,53,11,0
45,12196,10,2,5,0,41,8,0
44,13691,28,2,2,1,41,4,0
36,16327,27,3,3,1,45,3,0
32,5706,18,4,5,1,53,11,0
39,3001,14,1,5,1,46,15,0
44,12225,18,3,1,0,50,8,0
23,17820,28,4,5,1,39,2,1
29,13891,24,2,3,1,46,2,0
22,4861,8,1,4,1,46,17,0
37,8269,10,4,3,0,47,16,0
55,14112,22,2,2,0,31,9,1
41,18699,13,3,5,0,54,1,0
53,11320,21,1,5,1,33,10,0
27,19821,8,4,5,0,48,2,0
59,13740,4,3,5,0,40,1,0
38,6129,27,2,1,1,46,8,0
56,17380,4,2,1,0,41,18,1
25,14360,5,4,4,1,31,1,1
45,8398,1,2,5,1,35,18,0
53,8529,17,1,2,0,38,1,0
25,6918,2,4,4,1,34,14,0
56,19410,8,3,5,1,49,2,0
52,9937,7,4,1,1,58,4,0
41,10118,15,4,2,1,50,10,0
40,19931,26,3,4,1,38,6,1
25,13860,25,2,2,1,57,5,1
25,8338,5,3,5,0,58,13,0
23,15472,2,1,3,1,52,0,0
49,6140,7,2,2,1,37,16,0
30,10996,8,4,2,1,49,16,0
49,18489,28,2,1,1,56,13,0
50,17201,7,2,5,0,37,9,0
43,10776,7,1,2,0,51,7,0
28,7943,28,2,5,1,50,7,0
22,15886,14,2,1,0,58,13,0
50,11997,21,2,5,1,57,6,1
59,10798,18,4,1,1,52,5,0
56,11092,6,2,1,1,35,3,0
55,6225,4,3,4,1,32,0,1
43,14810,10,2,5,0,34,14,0
50,17914,18,1,3,0,38,14,0
25,5460,12,2,4,1,36,0,0
21,11737,16,2,1,1,57,19,0
39,16920,25,4,3,0,33,2,0
47,13754,7,3,2,0,36,4,0
30,13833,6,2,2,1,34,4,1
23,6114,28,3,4,0,40,3,1
34,18360,5,1,3,1,58,16,0
25,12951,3,4,5,0,44,19,0
49,5565,12,3,3,0,31,13,0
57,6174,15,4,4,0,42,7,0
21,5630,10,2,5,0,51,1,0
34,6161,26,1,5,1,45,7,1
30,7321,20,4,2,1,36,0,0
27,16204,19,2,3,0,37,3,0
45,10099,16,3,5,1,35,18,0
24,14360,28,1,4,0,53,4,0
25,13313,11,1,2,0,36,4,1
45,16502,8,3,5,1,47,19,0
23,8801,3,3,3,1,59,18,1
38,17130,23,1,2,1,51,11,0
39,17271,7,4,3,0,54,19,0
52,19075,23,1,3,1,57,0,0
39,7151,29,3,3,1,51,6,0
31,11911,7,4,2,1,49,16,0
20,15861,14,2,5,1,36,1,0
45,3666,2,1,1,0,32,10,0
33,19667,10,3,5,0,34,6,1
57,8840,19,2,2,0,30,16,0
56,6565,26,1,1,0,44,2,0
30,13426,9,1,1,0,55,5,1
55,10366,16,4,1,0,32,10,1
32,18630,19,3,4,0,37,17,0
22,10382,18,2,2,1,54,17,0
52,19149,9,1,4,0,38,9,0
25,18871,16,4,1,0,44,4,0
29,16273,13,2,4,0,39,14,0
24,3992,10,2,4,0,31,19,0
42,9858,25,1,2,1,49,3,1
29,5121,20,2,3,0,34,0,0
21,15388,14,1,4,0,48,14,0
32,7136,12,4,4,1,42,16,0
59,19727,25,4,1,0,40,18,0
21,15653,19,2,1,0,30,13,0
39,18479,7,1,1,0,51,18,0
20,7823,23,3,5,0,59,17,0
56,7920,15,4,4,0,44,1,1
28,8471,16,1,1,0,55,5,0
36,12533,27,1,2,0,47,12,0
28,10127,8,1,5,1,45,16,0
30,6720,10,2,3,1,38,5,0
34,18696,4,3,4,0,30,4,0
43,4364,19,2,4,1,40,6,0
57,5708,19,4,2,0,38,0,0
54,15982,28,2,3,1,52,12,0
49,3151,21,1,3,0,40,18,0
50,5321,27,2,5,1,42,0,0
24,16865,15,1,4,0,55,12,0
33,3495,14,3,1,1,31,10,0
30,14987,1,2,2,1,43,6,0
28,5148,16,2,2,0,35,19,1
53,3556,10,2,2,0,37,2,0
31,16393,19,1,2,1,47,0,0
54,4552,22,1,1,1,45,7,1
54,6085,3,2,1,0,50,16,0
20,3156,5,2,5,1,58,12,0
59,11926,9,3,4,0,41,13,0
41,10162,18,3,1,1,40,4,0
48,11055,11,4,5,1,35,5,0
27,7654,16,3,3,0,32,5,0
30,14468,2,3,4,0,43,7,0
56,3154,12,3,1,0,57,12,0
33,10950,22,1,3,1,31,17,0
49,18323,6,3,5,1,40,3,0
54,7626,11,3,1,1,51,16,0
40,17259,27,2,1,0,32,4,0
56,17873,8,1,3,1,47,2,0
24,16016,12,4,1,1,30,3,1
38,12369,29,4,2,0,59,4,0
33,3153,27,3,1,1,53,13,0
45,10853,2,4,4,1,30,14,0
23,15379,9,4,3,0,41,19,1
44,18792,15,4,4,0,44,16,1
44,8599,2,3,5,0,34,5,0
37,17785,29,4,4,0,56,9,1
59,14049,1,3,2,0,35,15,0
27,3786,10,2,2,0,45,16,0
58,7368,2,2,4,0,56,13,0
59,17923,12,4,5,0,41,19,0
33,7272,23,2,1,0,41,11,0
51,8994,8,3,2,1,32,8,0
57,10011,5,2,4,0,59,14,1
52,17086,22,4,4,0,52,11,0
42,12261,28,3,4,1,31,13,0
34,10011,1,1,1,0,36,17,0
52,4212,15,3,3,1,31,19,1
44,17141,6,2,5,1,50,5,1
36,12344,12,1,3,0,36,3,0
52,9704,8,3,5,1,40,11,0
21,18896,13,1,5,0,40,12,0
33,3143,19,1,4,0,43,18,0
59,13681,27,1,2,1,32,12,0
59,10367,1,3,4,1,43,11,0
58,6228,11,2,1,1,40,19,0
25,7582,20,3,5,0,33,2,0
25,16147,1,2,2,0,46,2,0
22,14397,8,3,5,1,45,13,0
26,9031,5,3,5,0,32,17,0
27,7243,17,3,4,0,54,18,1
34,16647,8,2,2,1,39,9,0
48,14496,25,3,2,1,50,16,1
52,12549,10,1,5,1,44,14,1
49,18146,2,3,2,1,37,18,0
58,7185,9,1,2,1,47,8,0
46,15486,24,4,4,1,32,3,0
55,10328,23,4,3,1,36,14,0
48,19684,3,2,1,1,59,18,0
57,6010,18,2,3,1,39,15,0
52,8555,7,4,2,1,49,7,0
56,3067,15,3,5,0,38,16,0
46,15185,21,3,1,0,43,0,1
52,4537,22,3,1,1,52,6,0
23,19781,20,4,5,0,43,17,0
41,14549,18,1,1,0,40,11,1
21,8680,25,2,5,0,57,15,0
29,11747,3,1,1,0,30,0,0
24,18116,28,4,3,0,33,14,1
29,5941,23,1,1,0,55,6,0
52,13849,14,3,4,1,56,16,0
57,10067,24,3,5,1,35,2,0
32,13151,2,1,1,0,51,10,0
50,18126,14,4,5,0,55,5,0
55,18613,22,1,4,1,51,5,0
43,9447,11,3,1,0,34,14,0
34,8499,16,3,1,0,32,6,1
48,9273,8,4,4,0,31,10,0
27,4299,7,1,4,0,32,16,0
24,9701,11,3,4,0,38,17,0
48,7994,3,3,5,1,48,18,0
23,18627,17,1,4,1,48,7,0
31,10489,14,1,5,0,46,19,1
21,11269,6,2,3,1,47,7,0
46,5831,8,4,1,0,40,10,0
50,14602,22,4,1,0,41,2,0
55,14819,5,1,2,0,32,13,0
55,4996,27,4,3,0,47,8,1
45,14619,28,3,4,0,53,0,0
46,19661,8,1,4,0,35,0,0
24,6089,2,1,3,0,36,11,0
39,3523,15,1,4,0,30,10,0
30,15410,12,2,2,0,35,0,0
29,18732,17,4,5,1,47,19,0
59,11167,1,2,1,0,42,11,0
57,8190,15,3,3,1,51,16,0
25,7575,14,4,1,1,48,14,0
27,10727,20,2,5,0,36,1,0
42,18378,22,1,3,1,48,17,1
45,4797,16,2,5,0,38,15,1
31,5131,29,1,4,0,32,3,0
45,17900,9,2,4,0,52,7,0
32,14332,1,2,4,0,41,1,0
59,9666,28,2,5,1,49,13,0
37,19526,17,1,5,1,53,14,0
44,15479,29,2,5,0,59,8,0
52,4410,13,4,1,1,47,1,0
59,15665,21,4,5,1,37,16,0
31,3534,26,4,4,1,38,9,0
55,6364,21,1,2,0,42,8,1
23,6342,5,1,5,1,37,1,0
24,16465,10,4,2,1,51,18,0
56,7500,6,4,4,1,39,16,0
27,4172,24,4,5,0,46,10,0
47,11007,19,3,1,1,36,16,1
50,4641,25,4,1,1,46,9,0
28,19855,13,2,2,0,52,17,0
48,11738,1,3,1,1,59,5,0
