song,artist,year,decade,primary_genre,date,weeks_at_number_one,non_consecutive,rating_1,rating_2,rating_3,overall_rating,divisiveness,label,parent_label,cdr_genre,discogs_genre,artist_structure,multiple_lead_vocalists,group_named_after_non_lead_singer,posthumous,artist_place_of_origin,front_person_age,artist_male,artist_white,artist_black,songwriters,songwriters_w_o_interpolation_sample_credits,songwriter_male,songwriter_white,artist_is_a_songwriter,artist_is_only_songwriter,producers,producer_male,producer_white,artist_is_a_producer,artist_is_only_producer,songwriter_is_a_producer,time_signature,keys,simplified_key,bpm,energy,danceability,happiness,loudness_d_b,acousticness,vocally_based,bass_based,guitar_based,piano_keyboard_based,orchestral_strings,horns_winds,accordion,banjo,bongos,clarinet,cowbell,falsetto_vocal,flute_piccolo,handclaps_snaps,harmonica,human_whistling,kazoo,mandolin,pedal_lap_steel,ocarina,saxophone,sitar,trumpet,ukulele,violin,song_structure,rap_verse_in_a_non_rap_song,length_sec,instrumental,instrumental_length_sec,intro_length_sec,vocal_introduction,free_time_vocal_introduction,fade_out,live,cover,sample,interpolation,inspired_by_a_different_song,lyrical_topic,lyrical_narrative,spoken_word,explicit,foreign_language,written_for_a_play,written_for_a_film,written_for_a_t_v_show,associated_with_dance,topped_the_charts_by_multiple_artist,eurovision_entry
Stop! In the Name of Love,The Supremes,1965,1960,Pop,1965-03-27 00:00:00+00:00,2,0,8,9,8,8.333333333333334,0.6666666666666666,Motown,Motown,Pop,Funk/Soul,0.0,0,0,0,United States,21.0,0,0,1.0,Brian Holland;Lamont Dozier;Eddie Holland,Brian Holland;Lamont Dozier;Eddie Holland,1.0,0.0,0,0,Brian Holland;Lamont Dozier,1.0,0.0,0.0,0.0,1,4/4,C,C,115.0,58.0,70.0,53.0,-6.0,62.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C3,0,172,0,20,19,0,0,1,0,0,0,0,0,Lost Love,0,0,0,0,0,0,0,0,0,0
I'm Telling You Now,Freddie & the Dreamers,1965,1960,Rock,1965-04-10 00:00:00+00:00,2,0,3,5,4,4.0,1.3333333333333333,Tower,EMI,Rock,Rock,0.0,0,0,0,United Kingdom,28.0,1,1,0.0,Freddie Garrity;Mitch Murray,Freddie Garrity;Mitch Murray,1.0,1.0,1,0,John Burgess,1.0,1.0,0.0,0.0,0,4/4,Ab;A;Bb&%,Ab,71.0,70.0,61.0,89.0,-7.0,38.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,0,128,0,22,6,0,0,0,0,0,0,0,0,Love,0,0,0,0,0,0,0,1,0,0
The Game of Love,Wayne Fontana & the Mindbenders,1965,1960,Rock,1965-04-24 00:00:00+00:00,1,0,8,4,9,7.0,3.333333333333333,Fontana,Polygram,Rock,Rock,0.0,0,0,0,United Kingdom,19.0,1,1,0.0,Clint Ballard Jr.,Clint Ballard Jr.,1.0,1.0,0,0,David Anderle,1.0,1.0,0.0,0.0,0,4/4,A,A,109.0,84.0,57.0,95.0,-4.0,9.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,0,127,0,25,20,0,0,1,0,0,0,1,1,Love,0,0,0,0,0,0,0,0,0,0
"Mrs. Brown, You've Got a Lovely Daughter",Herman's Hermits,1965,1960,Pop,1965-05-01 00:00:00+00:00,3,0,2,4,3,3.0,1.3333333333333333,MGM,MGM,Pop,Rock,0.0,0,0,0,United Kingdom,17.0,1,1,0.0,Trevor Peacock,Trevor Peacock,1.0,1.0,0,0,Mickie Most,1.0,1.0,0.0,0.0,0,4/4,C;Eb,Multiple Keys,149.0,47.0,66.0,89.0,-10.0,75.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,0,167,0,23,6,0,0,1,0,1,0,0,1,Love,0,0,0,0,0,0,1,0,0,0
Ticket to Ride,The Beatles,1965,1960,Rock,1965-05-22 00:00:00+00:00,1,0,10,10,10,10.0,0.0,Capitol,EMI,Rock,Rock,0.0,0,0,0,United Kingdom,23.0,1,1,0.0,John Lennon;Paul McCartney,John Lennon;Paul McCartney,1.0,1.0,1,1,George Martin,1.0,1.0,0.0,0.0,0,4/4,A,A,123.0,85.0,52.0,75.0,-7.0,5.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,0,189,0,42,7,0,0,1,0,0,0,0,0,Lost Love,0,0,0,0,0,0,0,0,0,0
"Help Me, Rhonda",The Beach Boys,1965,1960,Rock,1965-05-29 00:00:00+00:00,2,0,7,8,6,7.0,1.3333333333333333,Capitol,EMI,Rock,Rock,0.0,0,0,0,United States,22.0,1,1,0.0,Brian Wilson;Mike Love,Brian Wilson;Mike Love,1.0,1.0,1,1,Brian Wilson,1.0,1.0,1.0,1.0,1,4/4,Db,Db,140.0,75.0,54.0,82.0,-6.0,31.0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,D1,0,167,0,49,0,0,0,1,0,0,0,0,0,Lost Love;Lust/Sex,0,0,0,0,0,0,0,0,0,0
Back in My Arms Again,The Supremes,1965,1960,Pop,1965-06-12 00:00:00+00:00,1,0,7,8,7,7.333333333333333,0.6666666666666666,Motown,Motown,Pop,Funk/Soul,0.0,0,0,0,United States,21.0,0,0,1.0,Brian Holland;Lamont Dozier;Eddie Holland,Brian Holland;Lamont Dozier;Eddie Holland,1.0,0.0,0,0,Brian Holland;Lamont Dozier,1.0,0.0,0.0,0.0,1,4/4,C,C,123.0,53.0,71.0,48.0,-9.0,14.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C3,0,174,0,15,15,0,0,1,0,0,0,0,0,Love,0,0,0,0,0,0,0,0,0,0
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,1965,1960,Pop,1965-06-19 00:00:00+00:00,2,1,9,9,8,8.666666666666666,0.6666666666666666,Motown,Motown,Pop,Funk/Soul,0.0,0,0,0,United States,29.0,1,0,1.0,Brian Holland;Lamont Dozier;Eddie Holland,Brian Holland;Lamont Dozier;Eddie Holland,1.0,0.0,0,0,Brian Holland;Lamont Dozier,1.0,0.0,0.0,0.0,1,4/4,C,C,127.0,71.0,69.0,96.0,-5.0,20.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,A2,0,163,0,35,10,0,0,1,0,0,0,0,0,Love;Lost Love,0,0,0,0,0,0,0,0,0,0
Mr. Tambourine Man,The Byrds,1965,1960,Rock,1965-06-26 00:00:00+00:00,1,0,8,8,9,8.333333333333334,0.6666666666666666,Columbia,CBS,Rock,Rock,0.0,0,0,0,United States,22.0,1,1,0.0,Bob Dylan,Bob Dylan,1.0,1.0,0,0,Terry Melcher,1.0,1.0,0.0,0.0,0,4/4,D,D,120.0,47.0,46.0,64.0,-10.0,51.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1,0,149,0,48,8,0,0,1,0,1,0,0,1,God;Faithfulness,0,0,0,0,0,0,0,0,0,0
(I Can't Get No) Satisfaction,The Rolling Stones,1965,1960,Rock,1965-07-10 00:00:00+00:00,4,0,8,10,10,9.333333333333334,1.3333333333333333,London,London,Rock,Rock,0.0,0,0,0,United Kingdom,21.0,1,1,0.0,Mick Jagger;Keith Richards,Mick Jagger;Keith Richards,1.0,1.0,1,1,Andrew Loog Oldham,1.0,1.0,0.0,0.0,0,4/4,D,D,136.0,85.0,73.0,90.0,-8.0,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1,0,222,0,30,14,0,0,1,0,0,0,0,0,Lust/Sex;Anger;Restlessness,0,0,1,0,0,0,0,0,0,0
"I'm Henry VIII, I Am",Herman's Hermits,1965,1960,Rock,1965-08-07 00:00:00+00:00,1,0,4,4,6,4.666666666666667,1.3333333333333333,MGM,MGM,Rock,Rock,0.0,0,0,0,United Kingdom,17.0,1,1,0.0,Fred Murray;R.P. Weston,Fred Murray;R.P. Weston,1.0,1.0,0,0,Mickie Most,1.0,1.0,0.0,0.0,0,4/4,A,A,93.0,64.0,67.0,84.0,-10.0,8.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A2,0,110,0,36,6,0,0,0,0,1,0,0,1,Marriage,0,1,0,0,0,0,0,0,0,0
I Got You Babe,Sonny & Cher,1965,1960,Rock,1965-08-14 00:00:00+00:00,3,0,7,9,8,8.0,1.3333333333333333,Atco,Atlantic,Rock,Rock,2.0,1,0,0,United States,24.5,2,1,0.0,Sonny Bono,Sonny Bono,1.0,1.0,1,1,Sonny Bono,1.0,1.0,1.0,1.0,1,3/4,F;Gb&%,F,111.0,71.0,62.0,62.0,-9.0,25.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,E1,0,193,0,70,7,0,0,1,0,0,0,0,0,Love,0,0,0,0,0,0,0,0,0,0
Help!,The Beatles,1965,1960,Pop,1965-09-04 00:00:00+00:00,3,0,10,9,8,9.0,1.3333333333333333,Capitol,EMI,Pop;Rock,Rock,0.0,0,0,0,United Kingdom,23.5,1,1,0.0,John Lennon;Paul McCartney,John Lennon;Paul McCartney,1.0,1.0,1,1,George Martin,1.0,1.0,0.0,0.0,0,4/4,A,A,95.0,73.0,53.0,76.0,-8.0,19.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,C2,0,140,0,28,11,1,0,0,0,0,0,0,0,Pain,0,0,0,0,0,1,0,0,0,0
Eve of Destruction,Barry McGuire,1965,1960,Folk/Country,1965-09-25 00:00:00+00:00,1,0,5,6,6,5.666666666666667,0.6666666666666666,Dunhill,Dunhill,Folk/Country,Rock,1.0,0,0,0,United States,30.0,1,1,0.0,P.F. Sloan;Steve Barri,P.F. Sloan;Steve Barri,1.0,1.0,0,0,Lou Adler,1.0,1.0,0.0,0.0,1,4/4,D,D,118.0,47.0,59.0,77.0,-12.0,35.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,A2,0,217,0,50,13,0,0,0,0,0,0,0,0,War;Violence;Dystopia,0,0,0,0,0,0,0,0,0,0
Hang On Sloopy,The McCoys,1965,1960,Rock,1965-10-02 00:00:00+00:00,1,0,6,6,8,6.666666666666667,1.3333333333333333,Bang,Atlantic,Rock,Rock,0.0,0,0,0,United States,18.0,1,1,0.0,Wes Farrell;Burt Russell,Wes Farrell;Burt Russell,1.0,1.0,0,0,Bob Feldman;Jerry Goldstein;Richard Gottehrer;Bob Irwin,1.0,1.0,0.0,0.0,0,4/4,G,G,115.0,52.0,76.0,94.0,-12.0,17.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E1,0,182,0,67,8,0,0,0,0,1,0,0,1,Love,0,0,0,0,0,0,0,0,0,0
Yesterday,The Beatles,1965,1960,Pop,1965-10-09 00:00:00+00:00,4,0,10,9,7,8.666666666666666,2.0,Capitol,EMI,Pop,Rock;Pop,0.0,0,0,0,United Kingdom,24.0,1,1,0.0,John Lennon;Paul McCartney,John Lennon;Paul McCartney,1.0,1.0,1,1,George Martin,1.0,1.0,0.0,0.0,0,4/4,F,F,97.0,18.0,33.0,31.0,-12.0,88.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,0,123,0,6,6,0,0,0,0,0,0,0,0,Lost Love,0,0,0,0,0,0,0,0,0,0
Get Off Of My Cloud,The Rolling Stones,1965,1960,Rock,1965-11-06 00:00:00+00:00,2,0,8,8,10,8.666666666666666,1.3333333333333333,London,London,Rock,Rock;Blues,0.0,0,0,0,United Kingdom,22.0,1,1,0.0,Mick Jagger;Keith Richards,Mick Jagger;Keith Richards,1.0,1.0,1,1,Andrew Loog Oldham,1.0,1.0,0.0,0.0,0,4/4,E,E,126.0,90.0,59.0,91.0,-7.0,2.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C1,0,175,0,58,11,0,0,1,0,0,0,0,0,Anger;Restlessness,0,0,0,0,0,0,0,0,0,0
I Hear a Symphony,The Supremes,1965,1960,Pop,1965-11-20 00:00:00+00:00,2,0,7,8,9,8.0,1.3333333333333333,Motown,Motown,Pop,Funk/Soul,0.0,0,0,0,United States,21.0,0,0,1.0,Brian Holland;Lamont Dozier;Eddie Holland,Brian Holland;Lamont Dozier;Eddie Holland,1.0,0.0,0,0,Brian Holland;Lamont Dozier,1.0,0.0,0.0,0.0,1,4/4,C;E;Db;D;Eb&%,Multiple Keys,140.0,62.0,56.0,38.0,-8.0,45.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,C2,0,166,0,21,8,0,0,1,0,0,0,0,0,Love,0,0,0,0,0,0,0,0,0,0
Turn! Turn! Turn! (To Everything There is a Season),The Byrds,1965,1960,Rock,1965-12-04 00:00:00+00:00,3,0,8,6,7,7.0,1.3333333333333333,Columbia,CBS,Rock,Rock,0.0,1,0,0,United States,22.25,1,1,0.0,Pete Seeger,Pete Seeger,1.0,1.0,0,0,Terry Melcher,1.0,1.0,0.0,0.0,0,4/4,D,D,124.0,82.0,45.0,75.0,-8.0,14.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1,0,229,0,78,14,0,0,1,0,1,0,0,1,Time,0,0,0,0,0,0,0,0,0,0
Over and Over,The Dave Clark Five,1965,1960,Rock,1965-12-25 00:00:00+00:00,1,0,4,5,5,4.666666666666667,0.6666666666666666,Epic,CBS,Rock,Rock;Pop,0.0,0,1,0,United States,23.0,1,1,0.0,Robert James Byrd,Robert James Byrd,1.0,0.0,0,0,Dave Clark,1.0,1.0,1.0,1.0,0,4/4,Bb,Bb,150.0,86.0,54.0,90.0,-8.0,25.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,A2,0,121,0,44,7,0,0,0,0,1,0,0,1,Lost Love;Longing for Love,0,0,0,0,0,0,0,0,0,0
The Sound of Silence,Simon & Garfunkel,1966,1960,Folk/Country,1966-01-01 00:00:00+00:00,2,1,7,10,9,8.666666666666666,2.0,Columbia,CBS,Folk/Country,Rock;Pop,2.0,1,0,0,United States,24.0,1,1,0.0,Paul Simon,Paul Simon,1.0,1.0,1,1,Tom Wilson,1.0,1.0,0.0,0.0,0,4/4,Gb,Gb,108.0,47.0,44.0,54.0,-10.0,17.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A2,0,185,0,10,3,0,0,0,0,0,0,0,0,Restlessness;Lonesomeness,0,0,0,0,0,0,0,0,0,0
We Can Work it Out,The Beatles,1966,1960,Pop,1966-01-08 00:00:00+00:00,3,1,9,10,8,9.0,1.3333333333333333,Capitol,EMI,Pop,Rock;Pop,0.0,0,0,0,United Kingdom,24.0,1,1,0.0,John Lennon;Paul McCartney,John Lennon;Paul McCartney,1.0,1.0,1,1,George Martin,1.0,1.0,0.0,0.0,0,4/4;3/4,D,D,106.0,68.0,38.0,65.0,-9.0,6.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,0,136,0,19,0,0,0,0,0,0,0,0,0,Love;Bad Relationships,0,0,0,0,0,0,0,0,0,0
My Love,Petula Clark,1966,1960,Pop,1966-02-05 00:00:00+00:00,2,0,4,5,5,4.666666666666667,0.6666666666666666,Warner Bros.,Warner Bros.,Pop,Funk/Soul;Pop,1.0,0,0,0,United States,33.0,0,1,0.0,Tony Hatch,Tony Hatch,1.0,1.0,0,0,Tony Hatch,1.0,1.0,0.0,0.0,1,4/4,A;Bb&%,A,174.0,86.0,51.0,95.0,-6.0,68.0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1,0,164,0,12,6,0,0,0,0,0,0,0,0,Love,0,0,0,0,0,0,0,0,0,0
Lightnin' Strikes,Lou Christie,1966,1960,Rock,1966-02-19 00:00:00+00:00,1,0,6,4,5,5.0,1.3333333333333333,MGM,MGM,Rock,Rock,1.0,0,0,0,United States,23.0,1,1,0.0,Lou Christie;Twyla Herbert,Lou Christie;Twyla Herbert,2.0,1.0,1,0,Charles Calello,1.0,1.0,0.0,0.0,0,4/4,Eb;C,Multiple Keys,134.0,65.0,62.0,69.0,-8.0,61.0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,C3,0,181,0,22,8,0,0,1,0,0,0,0,0,Lust/Sex,0,0,0,0,0,0,0,0,0,0
These Boots are Made for Walkin',Nancy Sinatra,1966,1960,Rock,1966-02-26 00:00:00+00:00,1,0,9,8,10,9.0,1.3333333333333333,Reprise,Warner Bros.,Rock,Rock;Pop,1.0,0,0,0,United States,25.0,0,1,0.0,Lee Hazelwood,Lee Hazelwood,1.0,1.0,0,0,Lee Hazelwood,1.0,1.0,0.0,0.0,1,4/4,E,E,83.0,39.0,74.0,39.0,-12.0,48.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1,0,162,0,86,12,0,0,1,0,0,0,0,0,Respect;Bad Relationships;Empowerment;Infidelity,0,0,0,0,0,0,0,0,0,0
The Ballad of the Green Berets,SSgt. Barry Sadler,1966,1960,March,1966-03-05 00:00:00+00:00,5,0,1,3,1,1.6666666666666667,1.3333333333333333,RCA,RCA,March,"Folk, World, & Country",1.0,0,0,0,United States,25.0,1,1,0.0,Robin Moore;Staff Sgt. Barry Sadler,Robin Moore;Staff Sgt. Barry Sadler,1.0,1.0,1,0,Andy Wiswell,1.0,1.0,0.0,0.0,0,4/4,C,C,84.0,33.0,71.0,71.0,-12.0,78.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A2,0,166,0,8,6,0,0,0,0,0,0,0,0,War;Death,1,0,0,0,0,0,0,0,0,0
(You're My) Soul and Inspiration,The Righteous Brothers,1966,1960,Funk/Soul,1966-04-09 00:00:00+00:00,3,0,7,5,8,6.666666666666667,2.0,Verve,MGM,Funk/Soul,Funk/Soul;Blues;Pop,2.0,1,0,0,United States,25.0,1,1,0.0,Barry Mann;Cynthia Weil,Barry Mann;Cynthia Weil,2.0,1.0,0,0,Bill Medley,1.0,1.0,1.0,1.0,0,4/4,B,B,94.0,43.0,17.0,28.0,-12.0,73.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E1,0,180,0,24,0,0,0,1,0,0,0,0,0,Love;Lost Love,0,1,0,0,0,0,0,0,0,0
Good Lovin',The Young Rascals,1966,1960,Rock,1966-04-30 00:00:00+00:00,1,0,8,8,8,8.0,0.0,Atlantic,Atlantic,Rock,Rock;Funk/Soul,0.0,0,0,0,United States,21.5,1,1,0.0,Rudy Clark;Arthur Resnick,Rudy Clark;Arthur Resnick,1.0,2.0,0,0,Felix Cavaliere;Eddie Brigati;Gene Cornish;Dino Danelli,1.0,1.0,0.0,0.0,0,4/4,D,D,98.0,51.0,25.0,82.0,-13.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C3,0,168,0,41,2,0,0,0,0,1,0,0,1,Lust/Sex,0,0,0,0,0,0,0,0,0,0
"Monday, Monday",The Mamas & the Papas,1966,1960,Pop,1966-05-07 00:00:00+00:00,3,0,6,7,8,7.0,1.3333333333333333,Dunhill,Dunhill,Pop,Rock,0.0,0,0,0,United States,30.0,2,1,0.0,John Phillips,John Phillips,1.0,1.0,1,1,Lou Adler,1.0,1.0,0.0,0.0,0,4/4,Gb;G;Ab;A&%,Multiple Keys,110.0,48.0,49.0,67.0,-9.0,71.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,0,208,0,8,12,0,0,1,0,0,0,0,0,Love;Lost Love,0,0,0,0,0,0,0,0,0,0
When a Man Loves a Woman,Percy Sledge,1966,1960,Funk/Soul,1966-05-28 00:00:00+00:00,2,0,9,9,8,8.666666666666666,0.6666666666666666,Atlantic,Atlantic,Funk/Soul,Funk/Soul,1.0,1,0,0,United States,24.0,1,0,1.0,Calvin Lewis;Andrew Wright,Calvin Lewis;Andrew Wright,1.0,0.0,0,0,Marlin Greene;Quin Ivy,1.0,1.0,0.0,0.0,0,6/8,Db,Db,97.0,15.0,52.0,21.0,-20.0,13.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,0,174,0,22,14,0,0,1,0,0,0,0,0,Love,0,0,0,0,0,0,0,0,1,0
"Paint it, Black",The Rolling Stones,1966,1960,Rock,1966-06-11 00:00:00+00:00,2,0,10,9,10,9.666666666666666,0.6666666666666666,London,London,Rock,Rock,0.0,0,0,0,United Kingdom,22.0,1,1,0.0,Mick Jagger;Keith Richards,Mick Jagger;Keith Richards,1.0,1.0,1,1,Andrew Loog Oldham,1.0,1.0,0.0,0.0,0,4/4,Em,Em,159.0,80.0,47.0,59.0,-9.0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,D1,0,199,0,62,15,0,0,1,0,0,0,0,0,Sadness,0,0,0,0,0,0,0,0,0,0
Paperback Writer,The Beatles,1966,1960,Rock,1966-06-25 00:00:00+00:00,2,1,10,10,10,10.0,0.0,Capitol,EMI,Rock,Rock,0.0,0,0,0,United Kingdom,24.0,1,1,0.0,John Lennon;Paul McCartney,John Lennon;Paul McCartney,1.0,1.0,1,1,George Martin,1.0,1.0,0.0,0.0,0,4/4,G,G,157.0,86.0,47.0,84.0,-6.0,15.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A3,0,146,0,18,12,1,0,1,0,0,0,0,0,Jobs;Failure,0,0,0,0,0,0,0,0,0,0
Strangers in the Night,Frank Sinatra,1966,1960,Pop,1966-07-02 00:00:00+00:00,1,0,5,7,4,5.333333333333333,2.0,Reprise,Warner Bros.,Pop,Jazz;Pop,1.0,0,0,0,United States,50.0,1,1,0.0,Bert Kaempfert;Charles Singleton;Eddie Snyder,Bert Kaempfert;Charles Singleton;Eddie Snyder,1.0,2.0,0,0,Jimmy Bowen,1.0,1.0,0.0,0.0,0,4/4,F;G&%,F,80.0,49.0,23.0,53.0,-8.0,64.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A2,0,155,0,35,11,0,0,1,0,0,0,1,1,Love,0,0,0,0,0,1,0,0,0,0
Hanky Panky,Tommy James & the Shondells,1966,1960,Rock,1966-07-16 00:00:00+00:00,2,0,3,5,8,5.333333333333333,3.333333333333333,Roulette,Roulette,Rock,Rock,0.0,0,0,0,United States,19.0,1,1,0.0,Jeff Barry;Ellie Greenwich,Jeff Barry;Ellie Greenwich,2.0,1.0,0,0,Henry Glover,1.0,0.0,0.0,0.0,0,4/4,G,G,126.0,91.0,65.0,89.0,-6.0,41.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1,0,172,0,44,0,0,0,1,0,1,0,0,1,Lust/Sex,0,0,0,0,0,0,0,0,0,0
Wild Thing,The Troggs,1966,1960,Rock,1966-07-30 00:00:00+00:00,2,0,7,8,9,8.0,1.3333333333333333,Fontana,Polygram,Rock,Rock,0.0,0,0,0,United Kingdom,25.0,1,1,0.0,Chip Taylor,Chip Taylor,1.0,1.0,0,0,Larry Page,1.0,1.0,0.0,0.0,0,4/4,A,A,101.0,65.0,41.0,56.0,-11.0,67.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,C1,0,159,0,89,7,0,0,1,0,1,0,0,1,Lust/Sex,0,0,0,0,0,0,0,0,0,0
Summer in the City,The Lovin' Spoonful,1966,1960,Rock,1966-08-13 00:00:00+00:00,3,0,8,7,8,7.666666666666667,0.6666666666666666,Kama Sutra,Kama Sutra,Rock,Rock,0.0,0,0,0,United States,22.0,1,1,0.0,John Sebastian;Mark Sebastian;Steve Boone,John Sebastian;Mark Sebastian;Steve Boone,1.0,1.0,1,1,Erik Jacobsen,1.0,1.0,0.0,0.0,0,4/4,Cm;F,Multiple Keys,110.0,68.0,42.0,56.0,-10.0,6.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1,0,161,0,67,7,0,0,1,0,0,0,0,0,Summer;Lust/Sex,0,0,0,0,0,0,0,0,0,0
Sunshine Superman,Donovan,1966,1960,Rock,1966-09-03 00:00:00+00:00,1,0,4,5,8,5.666666666666667,2.6666666666666665,Epic,CBS,Rock,"Rock;Folk, World, & Country",1.0,0,0,0,United Kingdom,20.0,1,1,0.0,Donovan,Donovan,1.0,1.0,1,1,Mickie Most,1.0,1.0,0.0,0.0,0,4/4,Db,Db,133.0,68.0,63.0,63.0,-7.0,12.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,0,195,0,66,14,0,0,1,0,0,0,0,0,Lust/Sex,0,0,0,0,0,0,0,0,0,0
You Can't Hurry Love,The Supremes,1966,1960,Pop,1966-09-10 00:00:00+00:00,2,0,10,10,8,9.333333333333334,1.3333333333333333,Motown,Motown,Pop,Funk/Soul,0.0,0,0,0,United States,22.0,0,0,1.0,Brian Holland;Lamont Dozier;Eddie Holland,Brian Holland;Lamont Dozier;Eddie Holland,1.0,0.0,0,0,Brian Holland;Lamont Dozier,1.0,0.0,0.0,0.0,1,4/4,Bb,Bb,97.0,73.0,49.0,69.0,-9.0,34.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1,0,167,0,9,7,0,0,1,0,0,0,0,0,Longing for Love,0,0,0,0,0,0,0,0,0,0
Cherish,The Association,1966,1960,Pop,1966-09-24 00:00:00+00:00,3,0,3,5,3,3.6666666666666665,1.3333333333333333,Valiant,Valiant,Pop,Rock;Pop,0.0,0,0,0,United States,26.0,1,2,0.0,Terry Kirkman,Terry Kirkman,1.0,1.0,1,1,Curt Boettcher,1.0,1.0,0.0,0.0,0,4/4;Free,F;G&%,F,110.0,41.0,49.0,56.0,-14.0,73.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,0,193,0,18,9,0,0,0,0,0,0,0,0,Longing for Love,0,0,0,0,0,0,0,0,0,0
Reach Out I'll Be There,Four Tops,1966,1960,Funk/Soul,1966-10-15 00:00:00+00:00,2,0,8,8,10,8.666666666666666,1.3333333333333333,Motown,Motown,Funk/Soul,Funk/Soul,0.0,0,0,0,United States,30.0,1,0,1.0,Brian Holland;Lamont Dozier;Eddie Holland,Brian Holland;Lamont Dozier;Eddie Holland,1.0,0.0,0,0,Brian Holland;Lamont Dozier,1.0,0.0,0.0,0.0,1,4/4,Ebm,Ebm,120.0,63.0,62.0,70.0,-8.0,3.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C3,0,180,0,26,16,0,0,1,0,0,0,0,0,Love,0,1,0,0,0,0,0,0,0,0
